image_name,selected_categories
extensionservicces_1 (10).jpg,"['Female', 'Middle', 'Black', 'Center', 'Potrait']"
facials 1 (6).jpg,"['Female', 'White', 'Middle', 'facial treatments', 'Center', 'Potrait']"
Untitled design (22).jpg,"['Female', 'Right', 'White', 'Middle', 'Center', 'Potrait']"
extensionservicces_1 (9).jpg,"['Female', 'hair saloons', 'White', 'Middle', 'Center', 'Potrait']"
extensionservicces_1 (5).jpg,"['Female', 'White', 'Middle', 'crochet', 'Black', 'Center', 'Potrait']"
facials 1 (8).jpg,"['Female', 'Right', 'White', 'Middle']"
extensionservicces_1 (7).jpg,"['Female', 'Middle', 'crochet', 'Black', 'Center']"
extensionservicces_1 (3).jpg,"['Female', 'White', 'Middle', 'Center', 'Potrait']"
facials 1 (3).jpg,"['Female', 'White', 'Middle']"
accupunture 1 (5).jpg,"['Female', 'White', 'Middle']"
accupunture 1 (2).jpg,"['Female', 'White', 'Middle']"
facials 1 (2).jpg,"['Female', 'White', 'Middle', 'Center', 'Potrait']"
accupunture 1 (10).jpg,"['Female', 'Left', 'White', 'Middle']"
Untitled design (21).jpg,"['Female', 'Square', 'White', 'Middle', 'Center', 'Potrait']"
facials 1 (1).jpg,"['Female', 'Right', 'Male', 'Landscape', 'White', 'Middle']"
facials 1 (9).jpg,"['Female', 'Square', 'White', 'Middle', 'Center']"
accupunture 1 (4).jpg,"['Female', 'White', 'Middle', 'Center', 'Potrait']"
accupunture 1 (7).jpg,"['Female', 'Landscape', 'White', 'Middle', 'Center', 'Potrait']"
accupunture 1 (8).jpg,"['Female', 'stretch mark treatment', 'White', 'Middle']"
accupuncture_15.jpg,"['Female', 'Square', 'White', 'Middle', 'Center', 'Potrait']"
facials 1 (4).jpg,"['Female', 'Landscape', 'White', 'Middle', 'Eyelash fills', 'beauty services', 'Center']"
facials 1 (5).jpg,"['Landscape', 'White', 'Middle']"
ht_16.jpg,"['Female', 'Square', 'White', 'Middle', 'Center']"
extensionservicces_1 (11).jpg,"['Male', 'White', 'Middle', 'Center', 'Potrait']"
extensionservicces_1 (4).jpg,"['White', 'Middle', 'Center', 'Potrait']"
accupunture 1 (3).jpg,"['Female', 'Square', 'White', 'Middle', 'Center', 'Potrait']"
extensionservicces_1 (6).jpg,"['Female', 'White', 'fitness programs', 'Middle', 'Potrait']"
facials 1 (10).jpg,"['Female', 'Square', 'Gel Nails', 'White', 'Middle', 'Center']"
facials 1 (11).jpg,"['Female', 'White', 'Middle', 'Center', 'Potrait']"
extensionservicces_1 (1).jpg,"['Female', 'Braids', 'Middle', 'Black', 'Center', 'Potrait']"
facials 1 (12).jpg,"['Female', 'Right', 'Landscape', 'White', 'Middle', 'artistic services', 'makeup services']"
ht_15.jpg,"['Female', 'Middle', 'Center']"



